,,,,Target,Phase 1,,,,Phase 2,,,,Phase 3,,Phase 4,,,
feature,source_group,probe_group,system,required_count,patients_collected,Gap (required- pass- pending),patients_pending_multiframe,patients_pending_multiframe_not_collected,patients_pending_curation,patients_pass_curation,patients_failed_curation,Total patients was curated (K+L),pending_annotations,Complete_annotations (number of frames?),Pending Review-,Frames_pass_Review,Frames_failed_Review,Total Frames was Reviewed
ch_lung,internal,L818i / L8-18t,Chameleon,2,1,,0,0,1,0,0,,,,,,,
ch_lung,external,M5Sc,Chameleon,2,0,,0,0,0,0,0,,,,,,,
ch_lung,internal,M5Sc,Chameleon,2,1,,0,0,1,0,0,,,,,,,
ch_lung,external,ML615,Chameleon,2,0,,0,0,0,0,0,,,,,,,
ch_lung,internal,ML615,Chameleon,2,1,,0,0,1,0,0,,,,,,,
ch_lung total,,,,58,15,,1,0,15,0,0,,,,,,,
cnerve,internal,12L / L412t,Chameleon,12,11,,0,0,5,6,0,,,,,,,
cnerve,internal,9L,Chameleon,12,8,,0,0,0,7,1,,,,,,,
cnerve,internal,Air12L,Chameleon,12,0,,9,9,0,0,0,,,,,,,
cnerve,internal,L420t,Chameleon,12,9,,0,0,2,7,0,,,,,,,
cnerve,internal,ML615,Chameleon,12,10,,0,0,4,6,0,,,,,,,
cnerve total,,,,60,38,,9,9,11,26,1,,,,,,,
gastric,external,15C,Chameleon,4,0,,0,0,0,0,0,,,,,,,
gastric,internal,15C,Chameleon,9,3,,6,6,3,0,0,,,,,,,
gastric,external,29C,Chameleon,4,0,,0,0,0,0,0,,,,,,,
gastric,internal,29C,Chameleon,9,3,,6,6,0,3,0,,,,,,,
gastric,external,3Sc,Chameleon,4,0,,0,0,0,0,0,,,,,,,
gastric,internal,3Sc,Chameleon,10,4,,6,6,1,3,0,,,,,,,
gastric,external,4Sc,Chameleon,6,0,,0,0,0,0,0,,,,,,,
gastric,internal,4Sc,Chameleon,5,3,,2,2,3,0,0,,,,,,,
gastric,external,Air15C,Chameleon,4,0,,0,0,0,0,0,,,,,,,
gastric,internal,Air15C,Chameleon,9,3,,8,8,0,3,0,,,,,,,
gastric,external,Air3Sc,Chameleon,4,0,,0,0,0,0,0,,,,,,,
gastric,internal,Air3Sc,Chameleon,9,3,,6,6,0,3,0,,,,,,,
gastric,external,M5Sc,Chameleon,4,0,,0,0,0,0,0,,,,,,,
gastric,internal,M5Sc,Chameleon,9,4,,5,5,4,0,0,,,,,,,
gastric total,,,,90,23,,39,39,11,12,0,,,,,,,
ivc,external,15C,Chameleon,6,0,,0,0,0,0,0,,,,,,,
ivc,internal,15C,Chameleon,8,13,,2,2,0,7,6,,,,,,,
ivc,external,3Sc,Chameleon,6,0,,0,0,0,0,0,,,,,,,
ivc,internal,3Sc,Chameleon,8,11,,3,3,0,7,4,,,,,,,
ivc,internal,4Sc,Chameleon,8,0,,21,21,0,0,0,,,,,,,
ivc,external,Air15C,Chameleon,6,0,,0,0,0,0,0,,,,,,,
ivc,internal,Air15C,Chameleon,6,0,,6,6,0,0,0,,,,,,,
ivc,external,Air3Sc,Chameleon,6,0,,0,0,0,0,0,,,,,,,
ivc,internal,Air3Sc,Chameleon,7,0,,9,9,0,0,0,,,,,,,
ivc,external,M5Sc,Chameleon,6,0,,0,0,0,0,0,,,,,,,
ivc,internal,M5Sc,Chameleon,8,8,,0,0,0,7,1,,,,,,,
ivc total,,,,75,32,,41,41,0,21,11,,,,,,,
msk,external,12L / L412t,Chameleon,25,0,,0,0,0,0,0,,,,,,,
msk,internal,12L / L412t,Chameleon,15,3,,1,0,3,0,0,,,,,,,
msk,external,9L,Chameleon,25,0,,0,0,0,0,0,,,,,,,
msk,internal,9L,Chameleon,15,4,,0,0,4,0,0,,,,,,,
msk,external,Air12L,Chameleon,25,0,,0,0,0,0,0,,,,,,,
msk,internal,Air12L,Chameleon,15,4,,0,0,4,0,0,,,,,,,
msk,external,L420t,Chameleon,25,0,,0,0,0,0,0,,,,,,,
msk,internal,L420t,Chameleon,15,4,,1,0,4,0,0,,,,,,,
msk,external,ML615,Chameleon,25,0,,0,0,0,0,0,,,,,,,
msk,internal,ML615,Chameleon,15,4,,0,0,4,0,0,,,,,,,
msk total,,,,200,19,,2,0,19,0,0,,,,,,,
